Gemeinde;BFS_Nr;Bezirk_Nr;Bezirk_Nr_alt;Bevölkerungsdichte_2005;Bevölkerungsdichte_2006;Bevölkerungsdichte_2007;Bevölkerungsdichte_2008;Bevölkerungsdichte_2009;Bevölkerungsdichte_2010;Bevölkerungsdichte_2011;Bevölkerungsdichte_2012;Bevölkerungsdichte_2013;Bevölkerungsdichte_2014;Bevölkerungsdichte_2015;Bevölkerungsdichte_2016;Bevölkerungsdichte_2017;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bichelsee-Balterswil;4721;2014;2006;2.0;2.1;2.1;2.1;2.1;2.1;2.2;2.2;2.3;2.3;2.3;2.4;2.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Birwinken;4901;2015;2008;1.0;1.0;1.0;1.0;1.1;1.1;1.1;1.1;1.1;1.1;1.1;1.1;1.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bischofszell;4471;2015;2002;4.7;4.8;4.8;4.8;4.8;4.9;4.8;4.9;5;5.1;5.2;5.3;5.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bottighofen;4643;2013;2005;8.0;8.1;8.1;8.4;8.7;8.7;8.8;8.8;8.8;8.8;9;9;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Braunau;4723;2014;2006;0.7;0.7;0.7;0.7;0.7;0.7;0.7;0.8;0.8;0.8;0.8;0.8;0.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bürglen;4911;2015;2008;2.7;2.8;2.7;2.7;2.8;2.8;2.9;3;3;3.1;3.2;3.3;3.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bussnang;4921;2015;2008;1.0;1.1;1.1;1.1;1.1;1.1;1.1;1.2;1.2;1.2;1.2;1.2;1.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Diessenhofen ;4545;2012;2003;3.2;3.4;3.3;3.3;3.4;3.5;3.6;3.7;3.7;3.7;3.8;3.9;4.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dozwil;4406;2011;2001;3.9;3.9;4.1;4.2;4.4;4.6;4.9;5.2;5.2;5.3;5.4;5.7;5.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Egnach;4411;2011;2001;2.3;2.3;2.3;2.3;2.3;2.3;2.3;2.3;2.4;2.5;2.5;2.5;2.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Erlen;4476;2015;2002;2.5;2.5;2.5;2.5;2.5;2.6;2.6;2.7;2.7;2.9;3;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ermatingen;4646;2013;2005;2.5;2.5;2.5;2.6;2.7;2.8;2.8;2.9;3;3;3.1;3.2;3.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Eschenz;4806;2012;2007;1.3;1.3;1.3;1.3;1.4;1.4;1.4;1.4;1.4;1.4;1.4;1.4;1.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Eschlikon;4724;2014;2006;5.6;5.8;5.9;6.0;6.1;6.2;6.3;6.6;6.7;6.8;6.9;7;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Felben-Wellhausen;4561;2012;2004;3.1;3.2;3.2;3.2;3.3;3.4;3.5;3.5;3.6;3.7;3.7;3.8;3.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fischingen;4726;2014;2006;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.9;0.9;0.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Frauenfeld;4566;2012;2004;8.0;8.1;8.1;8.2;8.3;8.4;8.6;8.9;9;9;9.2;9.3;9.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gachnang;4571;2012;2004;3.3;3.4;3.4;3.4;3.5;3.5;3.5;3.6;3.7;3.8;4.1;4.3;4.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gottlieben;4651;2013;2005;7.9;9.1;9.0;8.9;8.8;8.6;8.5;8.3;8.6;8.5;9.1;9.2;9.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Güttingen;4656;2013;2005;1.4;1.4;1.5;1.5;1.5;1.5;1.5;1.5;1.6;1.6;1.6;1.6;1.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hauptwil-Gottshaus;4486;2015;2002;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.6;1.6;1.6;1.6;1.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hefenhofen;4416;2011;2001;1.9;1.9;1.9;1.9;1.9;1.9;1.9;2;2;2;2;2;1.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Herdern;4811;2012;2007;0.7;0.7;0.7;0.7;0.7;0.7;0.7;0.7;0.7;0.7;0.7;0.7;0.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hohentannen;4495;2015;2002;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Homburg;4816;2012;2007;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Horn;4421;2011;2001;13.9;14.0;13.7;14.0;14.7;14.9;15.0;14.9;15;14.9;15;15;15.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hüttlingen;4590;2012;2004;0.7;0.7;0.7;0.7;0.7;0.7;0.7;0.7;0.7;0.7;0.7;0.7;0.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hüttwilen;4821;2012;2007;0.8;0.8;0.8;0.8;0.8;0.8;0.9;0.9;0.9;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kemmental;4666;2013;2005;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;0.9;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kesswil;4426;2011;2001;2.1;2.1;2.2;2.2;2.2;2.2;2.2;2.3;2.2;2.2;2.3;2.2;2.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kradolf-Schönenberg;4501;2015;2002;2.9;3.0;3.0;3.0;3.1;3.1;3.1;3.1;3.2;3.3;3.3;3.3;3.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kreuzlingen;4671;2013;2005;15.2;15.5;15.6;15.9;16.2;16.7;17.1;17.9;18.2;18.7;19;19;19.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Langrickenbach;4681;2013;2005;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.1;1.1;1.2;1.2;1.2;1.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lengwil;4683;2013;2005;1.3;1.4;1.4;1.4;1.5;1.6;1.6;1.6;1.7;1.8;1.9;1.9;1.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lommis;4741;2014;2006;1.2;1.2;1.2;1.2;1.2;1.3;1.3;1.3;1.4;1.4;1.4;1.4;1.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mammern;4826;2012;2007;1.0;1.0;1.0;1.1;1.1;1.1;1.1;1.1;1.1;1.1;1.1;1.2;1.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Märstetten;4941;2015;2008;2.3;2.4;2.4;2.4;2.5;2.5;2.5;2.6;2.8;2.8;2.8;2.8;2.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Matzingen;4591;2012;2004;3.1;3.2;3.2;3.2;3.3;3.3;3.3;3.4;3.3;3.4;3.4;3.5;3.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Müllheim;4831;2012;2007;2.8;3.0;2.9;2.9;3.0;3.1;3.1;3.1;3.2;3.3;3.4;3.4;3.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Münchwilen;4746;2014;2006;6.0;5.9;5.9;5.9;6.0;6.1;6.1;6.4;6.5;6.6;6.8;6.9;7.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Münsterlingen;4691;2013;2005;4.6;4.6;4.6;4.7;4.9;5.1;5.3;5.6;5.7;5.8;5.9;6.1;6.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Neunforn;4601;2012;2004;0.8;0.8;0.8;0.8;0.9;0.9;0.9;0.9;0.9;0.8;0.9;0.9;0.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Pfyn;4841;2012;2007;1.4;1.4;1.4;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Raperswilen;4846;2013;2007;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rickenbach;4751;2014;2006;15.1;15.5;15.7;16.0;16.4;16.4;16.3;16.8;17.5;17.6;18;18;18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Roggwil;4431;2011;2001;2.3;2.3;2.3;2.4;2.4;2.4;2.4;2.4;2.4;2.4;2.5;2.6;2.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Romanshorn;4436;2011;2001;10.5;10.6;10.6;10.7;10.9;11.1;11.3;12;12.2;12.3;12.5;12.6;12.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Salenstein;4851;2013;2007;1.8;1.9;1.8;1.9;1.9;1.9;2.0;1.9;2;2;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Salmsach;4441;2011;2001;5.0;5.1;5.0;5.0;4.9;4.9;5.0;5;5.1;5.2;5.3;5.5;5.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Schlatt;4546;2012;2003;1.0;1.0;1.0;1.0;1.1;1.1;1.1;1.1;1.1;1.1;1.1;1.1;1.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Schönholzerswilen;4756;2015;2006;0.7;0.7;0.7;0.7;0.7;0.7;0.7;0.7;0.8;0.7;0.7;0.8;0.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sirnach;4761;2014;2006;5.3;5.4;5.3;5.4;5.5;5.6;5.7;6;6;6.1;6.2;6.3;6.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sommeri ;4446;2011;2001;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.3;1.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Steckborn;4864;2012;2007;3.8;3.9;3.9;3.9;4.0;4.0;4.0;4.2;4.1;4.2;4.2;4.3;4.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Stettfurt;4606;2012;2004;1.6;1.7;1.7;1.7;1.8;1.7;1.8;1.8;1.8;1.8;1.8;1.9;1.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sulgen;4506;2015;2002;3.7;3.8;3.7;3.7;3.8;3.8;3.8;3.9;4;4;4.1;4.1;4.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tägerwilen;4696;2013;2005;3.0;3.1;3.2;3.2;3.2;3.3;3.4;3.5;3.7;3.8;3.8;3.9;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Thundorf;4611;2012;2004;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.9;0.9;0.9;0.9;0.9;0.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tobel-Tägerschen ;4776;2014;2006;1.9;1.9;1.9;1.9;1.9;2.0;2.0;2;2.1;2.1;2.2;2.2;2.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Uesslingen-Buch;4616;2012;2004;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Uttwil;4451;2011;2001;3.5;3.5;3.6;3.7;3.8;4.0;4.0;4;4.2;4.2;4.2;4.3;4.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Wagenhausen;4871;2012;2007;1.3;1.4;1.4;1.4;1.4;1.4;1.4;1.5;1.5;1.5;1.5;1.5;1.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Wäldi;4701;2013;2005;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.9;0.9;0.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Wängi;4781;2014;2006;2.5;2.5;2.5;2.5;2.5;2.5;2.5;2.6;2.7;2.7;2.8;2.8;2.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Warth-Weiningen;4621;2012;2004;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.6;1.6;1.6;1.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Weinfelden;4946;2015;2008;6.2;6.2;6.3;6.4;6.5;6.6;6.7;7;7.1;7.2;7.3;7.3;7.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Wigoltingen;4951;2015;2008;1.2;1.2;1.3;1.3;1.2;1.2;1.3;1.3;1.3;1.4;1.4;1.4;1.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Wilen;4786;2014;2006;8.3;8.6;8.6;9.0;9.1;9.1;9.2;9.6;10;10.5;11;11.1;11.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Wuppenau;4791;2015;2006;0.8;0.8;0.8;0.8;0.8;0.8;0.9;0.9;0.9;0.9;0.9;0.9;0.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Zihlschlacht-Sitterdorf;4511;2015;2002;1.6;1.7;1.7;1.7;1.7;1.7;1.7;1.8;1.8;1.8;1.9;1.9;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.481294237;6.602213542;1.249558564;2.262151537;2.822611972;1.9
