Gemeinde;BFS_NR_GEMEINDE;BEZIRK_NR;BEZIRK_BEZ;BEZIRK_NR_ALT;Wohnbevölkerung_2004;Ausländeranteil_Prozent_2004;Wohnbevölkerung_2005;Ausländeranteil_Prozent_2005;Wohnbevölkerung_2006;Ausländeranteil_Prozent_2006;Wohnbevölkerung_2007;Ausländeranteil_Prozent_2007;Wohnbevölkerung_2008;Ausländeranteil_Prozent_2008;Wohnbevölkerung_2009;Ausländeranteil_Prozent_2009;Wohnbevölkerung_2010;Ausländeranteil_Prozent_2010;Wohnbevölkerung_2011;Ausländeranteil_Prozent_2011;Wohnbevölkerung_2012;Ausländeranteil_Prozent_2012;Wohnbevölkerung_2013;Ausländeranteil_Prozent_2013;Wohnbevölkerung_2014;Ausländeranteil_Prozent_2014
Gottlieben;4651;2013;Kreuzlingen;2005;286;29;327;34.3;323;31.3;320;33.1;316;32.6;309;33.0;307;35.5;315;35.9;292;34.9;302;38.1;1646;13.3
Güttingen;4656;2013;Kreuzlingen;2005;1341;14.5;1357;13.3;1392;13.6;1389;14;1418;15.2;1429;16.5;1443;16.8;1446;18.1;1473;18.6;1481;18.3;3693;26
Hauptwil-Gottshaus;4486;2015;Weinfelden;2002;1824;7.3;1865;7.6;1808;7.6;1802;8.6;1806;10.1;1789;9.7;1824;10.0;1820;9.8;1873;10.1;1896;9.3;1160;7.3
Hefenhofen;4416;2011;Arbon;2001;1148;9;1186;9.4;1175;8.8;1195;7.8;1179;8.7;1154;7.0;1188;10.2;1185;11.4;1218;12.6;1234;13.5;1408;7.4
Herdern;4811;2012;Frauenfeld;2007;919;7.4;928;7.2;917;7.6;922;8.1;950;8.6;981;9.7;947;6.5;946;6.7;959;7.3;986;7.3;1082;6.5
Hohentannen;4495;2015;Weinfelden;2002;600;3.8;599;4.5;604;4.6;607;4.8;620;6.8;593;6.6;605;7.9;618;9.4;604;9.3;618;9.7;1655;18.6
Homburg;4816;2012;Frauenfeld;2007;1431;4.2;1435;4.0;1430;4.0;1433;4.3;1431;3.8;1463;5.2;1488;5.6;1464;7.0;1471;7.6;1476;7.1;1232;8.8
Horn;4421;2011;Arbon;2001;2320;16;2332;16.2;2362;15.0;2429;16;2548;16.2;2584;16.7;2599;17.0;2591;16.4;2579;15.9;2594;17.0;2113;18.8
Hüttlingen;4590;2012;Frauenfeld;2004;841;4.8;841;6.3;831;6.4;837;7;842;6.5;829;5.9;821;7.8;814;8.5;818;9.2;818;8.4;2116;30.2
Hüttwilen;4821;2012;Frauenfeld;2007;1378;7.8;1371;7.6;1386;7.3;1416;7.5;1433;7.7;1450;8.0;1496;10.2;1532;9.3;1561;8.7;1579;9.2;3156;28.6
