BFS_NR_GEMEINDE;GEMEINDE_NAME;Jahr;Netto_Sozialhilfe_je_Einwohner
4841;Pfyn;2007;49
4846;Raperswilen;2007;248
4751;Rickenbach;2007;252
4431;Roggwil;2007;17
4436;Romanshorn;2007;41
4851;Salenstein;2007;-12
4441;Salmsach;2007;310
4546;Schlatt;2007;69
4756;Schönholzerswilen;2007;16
4761;Sirnach;2007;78
4446;Sommeri;2007;38
4864;Steckborn;2007;40
4606;Stettfurt;2007;89
4506;Sulgen;2007;103
4611;Thundorf;2007;25
4776;Tobel-Tägerschen;2007;78
4696;Tägerwilen;2007;76
4616;Uesslingen-Buch;2007;22
4451;Uttwil;2007;111
4871;Wagenhausen;2007;135
4621;Warth-Weiningen;2007;42
4946;Weinfelden;2007;45
4951;Wigoltingen;2007;94
4786;Wilen;2007;45
4791;Wuppenau;2007;52
4701;Wäldi;2007;6
4781;Wängi;2007;73
4511;Zihlschlacht-Sitterdorf;2007;52
4551;Aadorf;2008;2
4711;Affeltrangen;2008;80
4641;Altnau;2008;64
4881;Amlikon-Bissegg;2008;105
4461;Amriswil;2008;44
4401;Arbon;2008;123
4536;Basadingen-Schlattingen;2008;72
4891;Berg;2008;-3
4801;Berlingen;2008;116
4716;Bettwiesen;2008;90
4721;Bichelsee-Balterswil;2008;40
4901;Birwinken;2008;53
4471;Bischofszell;2008;175
4643;Bottighofen;2008;78
4723;Braunau;2008;-47
4921;Bussnang;2008;3
4911;Bürglen;2008;82
4545;Diessenhofen;2008;115
4406;Dozwil;2008;-14
4411;Egnach;2008;61
4476;Erlen;2008;124
4646;Ermatingen;2008;78
4806;Eschenz;2008;64
4724;Eschlikon;2008;44
4561;Felben-Wellhausen;2008;50
4726;Fischingen;2008;169
4566;Frauenfeld;2008;159
4571;Gachnang;2008;5
4651;Gottlieben;2008;9
4656;Güttingen;2008;45
4486;Hauptwil-Gottshaus;2008;75
4416;Hefenhofen;2008;51
4811;Herdern;2008;2
4495;Hohentannen;2008;49
4816;Homburg;2008;63
4421;Horn;2008;17
4590;Hüttlingen;2008;-10
4821;Hüttwilen;2008;121
4666;Kemmental;2008;46
4426;Kesswil;2008;-5
4501;Kradolf-Schönenberg;2008;117
4671;Kreuzlingen;2008;84
4681;Langrickenbach;2008;63
4683;Lengwil;2008;69
4741;Lommis;2008;73
4826;Mammern;2008;55
4591;Matzingen;2008;-34
4941;Märstetten;2008;152
4831;Müllheim;2008;122
4746;Münchwilen;2008;38
4691;Münsterlingen;2008;-14
4601;Neunforn;2008;40
4841;Pfyn;2008;106
4846;Raperswilen;2008;162
4751;Rickenbach;2008;297
4431;Roggwil;2008;18
4436;Romanshorn;2008;20
4851;Salenstein;2008;65
4441;Salmsach;2008;118
4546;Schlatt;2008;32
4756;Schönholzerswilen;2008;16
4761;Sirnach;2008;78
4446;Sommeri;2008;67
4864;Steckborn;2008;94
4606;Stettfurt;2008;-5
4506;Sulgen;2008;57
4611;Thundorf;2008;43
4776;Tobel-Tägerschen;2008;46
4696;Tägerwilen;2008;56
4616;Uesslingen-Buch;2008;34
4451;Uttwil;2008;122
4871;Wagenhausen;2008;45
4621;Warth-Weiningen;2008;20
4946;Weinfelden;2008;54
4951;Wigoltingen;2008;3
4786;Wilen;2008;36
4791;Wuppenau;2008;-3
4701;Wäldi;2008;66
4781;Wängi;2008;78
4511;Zihlschlacht-Sitterdorf;2008;-26
4551;Aadorf;2009;43
4711;Affeltrangen;2009;81
4641;Altnau;2009;28
4881;Amlikon-Bissegg;2009;73
4461;Amriswil;2009;90
4401;Arbon;2009;152
4536;Basadingen-Schlattingen;2009;29
4891;Berg;2009;47
4801;Berlingen;2009;20
4716;Bettwiesen;2009;55
4721;Bichelsee-Balterswil;2009;76
4901;Birwinken;2009;-41
4471;Bischofszell;2009;152
4643;Bottighofen;2009;119
4723;Braunau;2009;-3
4921;Bussnang;2009;65
4911;Bürglen;2009;86
4545;Diessenhofen;2009;126
4406;Dozwil;2009;-69
4411;Egnach;2009;66
4476;Erlen;2009;107
4646;Ermatingen;2009;96
4806;Eschenz;2009;61
4724;Eschlikon;2009;75
4561;Felben-Wellhausen;2009;90
4726;Fischingen;2009;137
4566;Frauenfeld;2009;127
4571;Gachnang;2009;18
4651;Gottlieben;2009;86
4656;Güttingen;2009;38
4486;Hauptwil-Gottshaus;2009;54
4416;Hefenhofen;2009;73
4811;Herdern;2009;62
4495;Hohentannen;2009;2
4816;Homburg;2009;80
4421;Horn;2009;28
4590;Hüttlingen;2009;66
4821;Hüttwilen;2009;71
4666;Kemmental;2009;30
4426;Kesswil;2009;16
4501;Kradolf-Schönenberg;2009;63
4671;Kreuzlingen;2009;96
4681;Langrickenbach;2009;20
4683;Lengwil;2009;124
4741;Lommis;2009;-13
4826;Mammern;2009;53
4591;Matzingen;2009;32
4941;Märstetten;2009;124
4831;Müllheim;2009;66
4746;Münchwilen;2009;105
4691;Münsterlingen;2009;7
4601;Neunforn;2009;35
4841;Pfyn;2009;57
4846;Raperswilen;2009;96
4751;Rickenbach;2009;267
4431;Roggwil;2009;-2
4436;Romanshorn;2009;48
4851;Salenstein;2009;77
4441;Salmsach;2009;16
4546;Schlatt;2009;6
4756;Schönholzerswilen;2009;76
4761;Sirnach;2009;52
4446;Sommeri;2009;55
4864;Steckborn;2009;174
4606;Stettfurt;2009;18
4506;Sulgen;2009;31
4611;Thundorf;2009;91
4776;Tobel-Tägerschen;2009;-35
4696;Tägerwilen;2009;36
4616;Uesslingen-Buch;2009;34
4451;Uttwil;2009;71
4871;Wagenhausen;2009;68
4621;Warth-Weiningen;2009;11
4946;Weinfelden;2009;88
4951;Wigoltingen;2009;93
4786;Wilen;2009;41
4791;Wuppenau;2009;7
4701;Wäldi;2009;43
4781;Wängi;2009;61
4511;Zihlschlacht-Sitterdorf;2009;27
4551;Aadorf;2010;14
4711;Affeltrangen;2010;76
4641;Altnau;2010;64
4881;Amlikon-Bissegg;2010;68
4461;Amriswil;2010;128
4401;Arbon;2010;160
4536;Basadingen-Schlattingen;2010;32
4891;Berg;2010;71
4801;Berlingen;2010;71
4716;Bettwiesen;2010;75
4721;Bichelsee-Balterswil;2010;82
4901;Birwinken;2010;-12
4471;Bischofszell;2010;119
4643;Bottighofen;2010;101
4723;Braunau;2010;21
4921;Bussnang;2010;104
4911;Bürglen;2010;89
4545;Diessenhofen;2010;97
4406;Dozwil;2010;12
4411;Egnach;2010;49
4476;Erlen;2010;97
4646;Ermatingen;2010;78
4806;Eschenz;2010;35
4724;Eschlikon;2010;106
4561;Felben-Wellhausen;2010;143
4726;Fischingen;2010;73
4566;Frauenfeld;2010;156
4571;Gachnang;2010;70
4651;Gottlieben;2010;47
4656;Güttingen;2010;54
4486;Hauptwil-Gottshaus;2010;9
4416;Hefenhofen;2010;83
4811;Herdern;2010;144
4495;Hohentannen;2010;6
4816;Homburg;2010;42
4421;Horn;2010;55
4590;Hüttlingen;2010;87
4821;Hüttwilen;2010;56
4666;Kemmental;2010;26
4426;Kesswil;2010;55
4501;Kradolf-Schönenberg;2010;115
4671;Kreuzlingen;2010;77
4681;Langrickenbach;2010;64
4683;Lengwil;2010;40
4741;Lommis;2010;45
4826;Mammern;2010;59
4591;Matzingen;2010;-5
4941;Märstetten;2010;79
4831;Müllheim;2010;52
4746;Münchwilen;2010;93
4691;Münsterlingen;2010;22
4601;Neunforn;2010;71
4841;Pfyn;2010;65
4846;Raperswilen;2010;-14
4751;Rickenbach;2010;216
4431;Roggwil;2010;28
4436;Romanshorn;2010;71
4851;Salenstein;2010;29
4441;Salmsach;2010;67
4546;Schlatt;2010;36
4756;Schönholzerswilen;2010;71
4761;Sirnach;2010;67
4446;Sommeri;2010;90
4864;Steckborn;2010;185
4606;Stettfurt;2010;37
4506;Sulgen;2010;75
4611;Thundorf;2010;-17
4776;Tobel-Tägerschen;2010;11
4696;Tägerwilen;2010;78
4616;Uesslingen-Buch;2010;64
4451;Uttwil;2010;68
4871;Wagenhausen;2010;69
4621;Warth-Weiningen;2010;55
4946;Weinfelden;2010;49
4951;Wigoltingen;2010;72
4786;Wilen;2010;46
4791;Wuppenau;2010;49
4701;Wäldi;2010;-6
4781;Wängi;2010;88
4511;Zihlschlacht-Sitterdorf;2010;42
4551;Aadorf;2011;51
4711;Affeltrangen;2011;-20
4641;Altnau;2011;-13
4881;Amlikon-Bissegg;2011;91
4461;Amriswil;2011;147
4401;Arbon;2011;168
4536;Basadingen-Schlattingen;2011;67
4891;Berg;2011;106
4801;Berlingen;2011;20
4716;Bettwiesen;2011;81
4721;Bichelsee-Balterswil;2011;75
4901;Birwinken;2011;31
4471;Bischofszell;2011;137
4643;Bottighofen;2011;97
4723;Braunau;2011;31
4921;Bussnang;2011;71
4911;Bürglen;2011;134
4545;Diessenhofen;2011;131
4406;Dozwil;2011;2
4411;Egnach;2011;22
4476;Erlen;2011;50
4646;Ermatingen;2011;64
4806;Eschenz;2011;108
4724;Eschlikon;2011;38
4561;Felben-Wellhausen;2011;137
4726;Fischingen;2011;169
4566;Frauenfeld;2011;152
4571;Gachnang;2011;69
4651;Gottlieben;2011;131
4656;Güttingen;2011;28
4486;Hauptwil-Gottshaus;2011;-27
4416;Hefenhofen;2011;160
4811;Herdern;2011;17
4495;Hohentannen;2011;7
4816;Homburg;2011;39
4421;Horn;2011;58
4590;Hüttlingen;2011;155
4821;Hüttwilen;2011;38
4666;Kemmental;2011;73
4426;Kesswil;2011;32
4501;Kradolf-Schönenberg;2011;143
4671;Kreuzlingen;2011;156
4681;Langrickenbach;2011;39
4683;Lengwil;2011;89
4741;Lommis;2011;26
4826;Mammern;2011;60
4591;Matzingen;2011;85
4941;Märstetten;2011;96
4831;Müllheim;2011;57
4746;Münchwilen;2011;61
4691;Münsterlingen;2011;61
4601;Neunforn;2011;106
4841;Pfyn;2011;84
4846;Raperswilen;2011;30
4751;Rickenbach;2011;20
4431;Roggwil;2011;-19
4436;Romanshorn;2011;67
4851;Salenstein;2011;41
4441;Salmsach;2011;0
4546;Schlatt;2011;69
4756;Schönholzerswilen;2011;45
4761;Sirnach;2011;87
4446;Sommeri;2011;76
4864;Steckborn;2011;165
4606;Stettfurt;2011;96
4506;Sulgen;2011;86
4611;Thundorf;2011;31
4776;Tobel-Tägerschen;2011;18
4696;Tägerwilen;2011;101
4616;Uesslingen-Buch;2011;75
4451;Uttwil;2011;67
4871;Wagenhausen;2011;40
4621;Warth-Weiningen;2011;72
4946;Weinfelden;2011;29
4951;Wigoltingen;2011;43
4786;Wilen;2011;56
4791;Wuppenau;2011;93
4701;Wäldi;2011;62
4781;Wängi;2011;73
4511;Zihlschlacht-Sitterdorf;2011;31
4551;Aadorf;2012;63
4711;Affeltrangen;2012;83
4641;Altnau;2012;17
4881;Amlikon-Bissegg;2012;110
4461;Amriswil;2012;150
4401;Arbon;2012;209
4536;Basadingen-Schlattingen;2012;98
4891;Berg;2012;93
4801;Berlingen;2012;158
4716;Bettwiesen;2012;107
4721;Bichelsee-Balterswil;2012;76
4901;Birwinken;2012;30
4471;Bischofszell;2012;120
4643;Bottighofen;2012;133
4723;Braunau;2012;34
4921;Bussnang;2012;132
4911;Bürglen;2012;123
4545;Diessenhofen;2012;185
4406;Dozwil;2012;-17
4411;Egnach;2012;53
4476;Erlen;2012;51
4646;Ermatingen;2012;152
4806;Eschenz;2012;128
4724;Eschlikon;2012;93
4561;Felben-Wellhausen;2012;131
4726;Fischingen;2012;180
4566;Frauenfeld;2012;203
4571;Gachnang;2012;78
4651;Gottlieben;2012;91
4656;Güttingen;2012;-8
4486;Hauptwil-Gottshaus;2012;61
4416;Hefenhofen;2012;127
4811;Herdern;2012;50
4495;Hohentannen;2012;0
4816;Homburg;2012;82
4421;Horn;2012;81
4590;Hüttlingen;2012;-58
4821;Hüttwilen;2012;27
4666;Kemmental;2012;62
4426;Kesswil;2012;46
4501;Kradolf-Schönenberg;2012;57
4671;Kreuzlingen;2012;225
4681;Langrickenbach;2012;87
4683;Lengwil;2012;176
4741;Lommis;2012;149
4826;Mammern;2012;103
4591;Matzingen;2012;104
4941;Märstetten;2012;63
4831;Müllheim;2012;71
4746;Münchwilen;2012;120
4691;Münsterlingen;2012;6
4601;Neunforn;2012;78
4841;Pfyn;2012;17
4846;Raperswilen;2012;-10
4751;Rickenbach;2012;207
4431;Roggwil;2012;14
4436;Romanshorn;2012;52
4851;Salenstein;2012;128
4441;Salmsach;2012;47
4546;Schlatt;2012;46
4756;Schönholzerswilen;2012;24
4761;Sirnach;2012;133
4446;Sommeri;2012;95
