Gemeinde,BFS_NR_GEMEINDE,0-19,20-39,40-64,65-79,80+,Statistikjahr
Kradolf-Schönenberg,4501,26.7,25.9,35.5,8.2,3.7,2005
Kreuzlingen,4671,19.9,29.2,34.4,12.1,4.4,2005
Langrickenbach,4681,29.3,24.6,33.5,8.3,4.3,2005
Lengwil,4683,26.2,24.5,38,8.7,2.5,2005
Lommis,4741,31.4,22.3,36.8,7.6,1.9,2005
Mammern,4826,24.9,25.4,35.8,10.5,3.4,2005
Märstetten,4941,28.6,25.9,34.3,8.4,2.8,2005
Matzingen,4591,27.1,25.9,36.1,8.1,2.8,2005
Müllheim,4831,28.4,24.5,35.4,8.6,3.1,2005
Münchwilen,4746,26.6,28.1,33.2,8.5,3.5,2005
Münsterlingen,4691,23.2,25.8,37.2,10.4,3.5,2005
Neunforn,4601,24.3,20.6,41.2,10.8,3.2,2005
Pfyn,4841,26.1,25.1,36.4,9.5,3,2005
Raperswilen,4846,28.4,19.6,35.8,13,3.2,2005
Rickenbach,4751,22.8,31.2,33.4,9.7,3,2005
Roggwil,4431,27.4,25.4,35.3,9,2.9,2005
Romanshorn,4436,22.7,24.7,34.2,12.6,5.9,2005
Salenstein,4851,18.3,23.5,42.3,11.1,4.8,2005
Salmsach,4441,24.9,26.4,37.1,8.3,3.4,2005
Schlatt,4546,26.4,26,35,9.2,3.3,2005
Schönholzerswilen,4756,30.6,25.9,27.8,11.7,3.9,2005
Sirnach,4761,25.2,27.3,34.3,9.5,3.7,2005
Sommeri,4446,25,24.4,35.6,11.8,3.2,2005
Steckborn,4864,22.6,21.9,37.1,12.7,5.7,2005
Stettfurt,4606,28.2,22.9,39.4,6.6,2.9,2005
Sulgen,4506,26.8,25.9,33.2,9.9,4.1,2005
Tägerwilen,4696,24.8,25.9,35.4,9.9,3.9,2005
Thundorf,4611,27,24,36.7,8.2,4,2005
Tobel-Tägerschen,4776,27.7,27.3,33.7,8.6,2.7,2005
Uesslingen-Buch,4616,28.1,22.7,35.4,11.2,2.5,2005
Uttwil,4451,25.1,24.1,36.3,10.3,4.2,2005
Wagenhausen,4871,23.6,24.1,37.1,11.1,4.1,2005
Wäldi,4701,26.6,22.3,37.1,10.8,3.2,2005
Wängi,4781,26.7,25.8,34.1,9.7,3.6,2005
Warth-Weiningen,4621,25,20.5,42,10.1,2.4,2005
Weinfelden,4946,21.3,28.2,32.2,12.8,5.6,2005
Wigoltingen,4951,25.8,24.7,35.9,10.4,3.2,2005
Wilen,4786,28.8,26,33.5,9,2.8,2005
Wuppenau,4791,27.9,24.3,35.5,9.5,2.8,2005
Zihlschlacht-Sitterdorf,4511,29.2,24.6,33.4,8.9,4,2005
Aadorf*,4551,24.4,25.7,36.7,9.9,3.2,2006
Affeltrangen,4711,25.4,26.1,36.3,8.3,3.9,2006
Altnau,4641,26.5,23.2,39,8.9,2.5,2006
Amlikon-Bissegg*,4881,28,21.6,36.2,10.7,3.4,2006
Amriswil,4461,24.7,26.1,33.4,11,4.9,2006
Arbon,4401,21.5,25.8,34.1,13,5.6,2006
Basadingen-Schlattingen,4536,26.7,23.1,37,10.2,2.9,2006
Berg,4891,27.7,23.3,36,9,3.9,2006
Berlingen*,4801,18,19.1,41.1,15.5,6.3,2006
Bettwiesen,4716,25.9,26.5,36.5,8.3,2.7,2006
Bichelsee-Balterswil,4721,25.5,24.8,37.2,9.3,3.1,2006
Birwinken,4901,28.9,24.4,33.5,9.5,3.7,2006
Bischofszell,4471,24,26.8,33.3,10.7,5.3,2006
Bottighofen,4643,17.5,24.4,41.6,13.7,2.8,2006
Braunau,4723,29.6,27.3,32.9,7.5,2.7,2006
Bürglen,4911,23.4,27.1,36.4,9.1,4.1,2006
Bussnang,4921,27.9,24.6,34.4,9,4.1,2006
Diessenhofen,4545,21.3,27.2,37,11.4,3.1,2006
Dozwil*,4406,27.1,20.7,34.9,12.2,5.2,2006
Egnach,4411,26.7,25.3,34.3,9.7,4,2006
Erlen,4476,27.5,24.9,35.6,9,3.1,2006
Ermatingen,4646,20.9,23.3,37.5,13,5.4,2006
Eschenz,4806,23.6,23.5,37.6,11,4.2,2006
Eschlikon,4724,25.3,25.8,35.8,9.6,3.4,2006
Felben-Wellhausen,4561,25.7,27.1,37.6,7.1,2.5,2006
Fischingen,4726,27,23.4,36.1,9.3,4.2,2006
Frauenfeld,4566,21.3,28.1,35,10.7,4.8,2006
Gachnang,4571,26.2,25.7,38.9,7.2,2,2006
Gottlieben,4651,14.9,29.7,40.2,11.5,3.7,2006
Güttingen,4656,25.5,23.4,37.9,10.2,2.9,2006
Hauptwil-Gottshaus,4486,27.6,26.1,35.1,8.1,3.1,2006
Hefenhofen,4416,29.9,21.9,35.5,9.9,2.9,2006
Herdern,4811,26.5,24.3,37.9,7.4,3.8,2006
Hohentannen,4495,32.1,22.2,31.8,9.9,4,2006
Homburg,4816,26.7,22.2,38.1,10.1,2.9,2006
Horn,4421,21.5,25.4,35.4,11.9,5.8,2006
Hüttlingen,4590,26.5,25.8,37.5,7.9,2.3,2006
Hüttwilen,4821,25.4,23.4,36.7,10.6,3.8,2006
Kemmental,4666,27.3,22.8,36.5,9.9,3.5,2006
Kesswil,4426,23.9,24.1,35.7,13.4,2.8,2006
Kradolf-Schönenberg,4501,26,25.5,36.3,8.4,3.7,2006
Kreuzlingen,4671,19.7,28.3,35.2,12.3,4.5,2006
Langrickenbach,4681,28.7,23.2,35.5,8.2,4.3,2006
Lengwil,4683,25.7,24.5,37.9,9.4,2.4,2006
Lommis,4741,30.9,19.9,39.3,7.6,2.2,2006
Mammern,4826,24.6,24.2,36.1,11.1,3.9,2006
Märstetten,4941,28.1,26.7,34.5,8,2.7,2006
Matzingen,4591,27,25.4,36.3,8.1,3.2,2006
Müllheim,4831,27.7,24,36.4,8.6,3.2,2006
Münchwilen,4746,26.6,27.6,33.7,8.6,3.5,2006
Münsterlingen,4691,23,24.7,38.1,10.8,3.4,2006
Neunforn,4601,23.4,20,41.9,10.8,3.9,2006
Pfyn,4841,25.2,24.7,37.5,9.1,3.5,2006
Raperswilen,4846,27.2,21.4,35.3,11.8,4.3,2006
Rickenbach,4751,22.1,30.8,34.1,10.1,2.9,2006
Roggwil,4431,26.7,24.6,36.8,9,3,2006
Romanshorn,4436,22.8,24.1,34.4,12.7,6.1,2006
Salenstein,4851,18.7,21.2,44.3,10.3,5.4,2006
Salmsach,4441,25.1,25.1,37.6,9,3.2,2006
Schlatt,4546,25.6,25.2,36.2,9.8,3.1,2006
Schönholzerswilen,4756,31.8,22.9,30.6,10.7,4,2006
Sirnach,4761,25,26.5,35,9.8,3.7,2006
Sommeri,4446,23.2,22.8,38,12.4,3.5,2006
Steckborn,4864,22.7,21.2,37.6,12.7,5.8,2006
Stettfurt,4606,27.9,23.3,39.3,6.4,3.1,2006
Sulgen,4506,26.1,25.5,33.8,10.2,4.5,2006
Tägerwilen,4696,24.8,24.6,36.7,10.2,3.7,2006
Thundorf,4611,27.6,22.9,37.1,8.3,4.1,2006
Tobel-Tägerschen,4776,26.6,28.4,33.6,8.5,2.8,2006
Uesslingen-Buch,4616,28.8,20.4,37.2,10.9,2.6,2006
Uttwil,4451,25,23.4,37.2,10.6,3.9,2006
Wagenhausen,4871,23,23.6,38,11.2,4.1,2006
Wäldi,4701,25.5,22.4,38,10.6,3.5,2006
Wängi,4781,25.9,25.4,35,10,3.7,2006
Warth-Weiningen,4621,22.9,21.5,42.7,10.2,2.8,2006
Weinfelden,4946,21.2,28,32.3,12.8,5.7,2006
Wigoltingen,4951,25.6,23.9,36.6,10.4,3.5,2006
Wilen,4786,29,24.9,34.6,8.8,2.8,2006
Wuppenau,4791,28.5,21.9,36.8,10.1,2.6,2006
Zihlschlacht-Sitterdorf,4511,27,26,34.5,8.4,4.1,2006
Aadorf,4551,23.9,25,37.6,10.2,3.3,2007
Affeltrangen,4711,25.4,25.7,36.7,8.6,3.6,2007
Altnau,4641,25.3,22.2,40.4,9.6,2.6,2007
Amlikon-Bissegg,4881,27,20.7,38.3,10.1,3.9,2007
Amriswil,4461,24.2,26,33.8,11,5,2007
