DATUM_ABSTIMMUNG,VORLAGE_BEZEICHNUNG,VORLAGEART_CODE,VORLAGEART_BEZEICHNUNG,BEZIRK_NR,BEZIRK_NAME,BFS_NR_GEMEINDE,GEMEINDE_NAME,STIMMBERECHTIGTE,EINGELEGTE_STIMMZETTEL,LEERE_STIMMEN,UNGUELTIGE_STIMMEN,GUELTIGE_STIMMEN,JA_STIMMEN,NEIN_STIMMEN,STIMMBETEILIGUNG
21.05.2000,6,3,Obligatorisches Referendum,2001,Arbon,4451,Uttwil,956,446,,,444,248,196,46.7
21.05.2000,6,3,Obligatorisches Referendum,2007,Steckborn,4871,Wagenhausen,1025,494,,,492,263,229,48.2
21.05.2000,6,3,Obligatorisches Referendum,2005,Kreuzlingen,4701,W�ldi,621,318,,,318,128,190,51.2
21.05.2000,6,3,Obligatorisches Referendum,2006,M�nchwilen,4781,W�ngi,2555,1265,,,1207,673,534,49.5
21.05.2000,6,3,Obligatorisches Referendum,2004,Frauenfeld,4621,Warth-Weiningen,793,433,,,424,243,181,54.6
21.05.2000,6,3,Obligatorisches Referendum,2008,Weinfelden,4946,Weinfelden,6222,3046,,,2928,1778,1150,49
21.05.2000,6,3,Obligatorisches Referendum,2008,Weinfelden,4951,Wigoltingen,1384,660,,,640,308,332,47.7
21.05.2000,6,3,Obligatorisches Referendum,2006,M�nchwilen,4786,Wilen (TG),1203,571,,,570,354,216,47.5
21.05.2000,6,3,Obligatorisches Referendum,2006,M�nchwilen,4791,Wuppenau,719,395,,,394,167,227,54.9
21.05.2000,6,3,Obligatorisches Referendum,2002,Bischofszell,4511,Zihlschlacht-Sitterdorf,1247,562,,,549,247,302,45.1
